"label","peak_id","peaksum","peakmax","unixtime_ofmax","raw_peaksum","dayofanalysis","peakSNR"
"CalBottle_0.2","CalBottle_0.2_1",140286.402532097,29034.1854575999,1734011240,330978.7934,"2024-12-12",210.9815661756
"CalBottle_0.2","CalBottle_0.2_2",136045.044353378,27338.7871963041,1734011305,328444.366,"2024-12-12",204.602841116676
"CalBottle_0.2","CalBottle_0.2_3",134272.813016519,27414.5165360795,1734011355,327890.555,"2024-12-12",201.937521197374
"CalBottle_0.2","CalBottle_0.2_4",125294.625725415,25998.2358757086,1734011412,319989.077,"2024-12-12",188.434915229118
"CalBottle_0.2","CalBottle_0.2_5",121100.726080682,24733.8141218543,1734011487,316817.216,"2024-12-12",182.127564698645
"CalBottle_0.4","CalBottle_0.4_1",243812.600337897,53360.737306421,1734011666,440634.967,"2024-12-12",260.559062746708
"CalBottle_0.4","CalBottle_0.4_2",259563.736583913,56519.4216380443,1734011720,455323.396,"2024-12-12",277.39207831592
"CalBottle_0.4","CalBottle_0.4_3",258144.003699182,56027.7279013835,1734011760,453423.156,"2024-12-12",275.874829948593
"CalBottle_0.4","CalBottle_0.4_4",247686.776688813,52210.053044284,1734011806,442752.812,"2024-12-12",264.699339982222
"CalBottle_0.4","CalBottle_0.4_5",240529.88389157,48943.1023473821,1734011849,435546.588,"2024-12-12",257.050870309842
"CalBottle_0.6","CalBottle_0.6_1",347551.101104915,74931.3126484898,1734012017,544346.031,"2024-12-12",379.706679098796
"CalBottle_0.6","CalBottle_0.6_2",385314.667879268,83211.5426310377,1734012084,583387.32,"2024-12-12",420.964147382536
"CalBottle_0.6","CalBottle_0.6_3",378497.730058981,77587.4487608235,1734012134,577077.637,"2024-12-12",413.516503530639
"CalBottle_0.6","CalBottle_0.6_4",385396.49255545,80247.0155516486,1734012184,584116.248,"2024-12-12",421.053542513101
"CalBottle_0.6","CalBottle_0.6_5",377796.395535487,76539.3247662822,1734012229,576451.121,"2024-12-12",412.7502812341
"CalBottle2_0.8","CalBottle2_0.8_1",329641.942917496,67019.5279729766,1734012991,530833.123,"2024-12-12",461.102384691024
"CalBottle2_0.8","CalBottle2_0.8_2",168933.03422171,35376.3904204987,1734013035,369858.851,"2024-12-12",236.303136194707
"CalBottle2_0.8","CalBottle2_0.8_3",160654.503708653,33902.1476133067,1734013086,361041.621,"2024-12-12",224.723146926583
"CalBottle2_0.8","CalBottle2_0.8_4",173463.804387815,35143.2598309446,1734013141,373408.333,"2024-12-12",242.640766987646
"CalBottle2_0.8","CalBottle2_0.8_5",224723.078082853,45251.4683581917,1734013195,424477.669,"2024-12-12",314.34212006524
"CalBottle2_1","CalBottle2_1_1",637028.628167343,137769.520255682,1734013700,842414.099,"2024-12-12",361.029911743111
"CalBottle2_1","CalBottle2_1_2",618341.702654744,135897.44509971,1734013745,823578.834,"2024-12-12",350.439274571948
"CalBottle2_1","CalBottle2_1_3",638343.25335657,137586.56638578,1734013789,842373.278,"2024-12-12",361.774963056436
"CalBottle2_1","CalBottle2_1_4",626727.029959778,136718.177346056,1734013846,828559.529,"2024-12-12",355.191579010107
"CalBottle2_1","CalBottle2_1_5",634677.447464272,133026.300243521,1734013894,834828.7595,"2024-12-12",359.697402458303
"Calmig_0.2","Calmig_0.2_1",73935.495410393,15241.5339056308,1734017381,287279.374,"2024-12-12",138.128693908997
"Calmig_0.2","Calmig_0.2_2",89364.0274109941,18567.0941216913,1734017419,303016.061,"2024-12-12",166.952778502561
"Calmig_0.2","Calmig_0.2_3",71984.0344373443,14522.3986383542,1734017460,285716.455,"2024-12-12",134.482911136793
"Calmig_0.2","Calmig_0.2_4",70713.7339202739,15071.2660298687,1734017496,284250.721,"2024-12-12",132.109694452156
"Calmig_0.2","Calmig_0.2_5",47552.0912591534,8844.61459515809,1734017537,260608.195,"2024-12-12",88.8383613555255
"Calmig_0.4","Calmig_0.4_1",116385.25393668,23707.3438387186,1734017625,328908.91,"2024-12-12",179.5498391089
"Calmig_0.4","Calmig_0.4_2",129467.636694793,26814.3606841925,1734017669,341976.317,"2024-12-12",199.732290406882
"Calmig_0.4","Calmig_0.4_3",138313.359004476,27749.0014938391,1734017695,350703.132,"2024-12-12",213.378761620234
"Calmig_0.4","Calmig_0.4_4",136771.331055387,29134.6839787548,1734017753,348848.505,"2024-12-12",210.999844525539
"Calmig_0.4","Calmig_0.4_5",137572.476309834,28746.4461284101,1734017783,349591.996,"2024-12-12",212.23578719588
"Calmig_0.6","Calmig_0.6_1",205247.531580826,44866.9802388202,1734018008,419785.756,"2024-12-12",299.784443999192
"Calmig_0.6","Calmig_0.6_2",206596.134476781,42633.9244350651,1734018046,422194.811,"2024-12-12",301.754212727837
"Calmig_0.6","Calmig_0.6_3",205114.395354196,41951.7147607736,1734018081,421406.909,"2024-12-12",299.589985291849
"Calmig_0.6","Calmig_0.6_4",203700.610834868,45269.956375429,1734018120,420400.553,"2024-12-12",297.525012316061
"Calmig_0.6","Calmig_0.6_5",202348.656342036,44030.8934414727,1734018161,419235.703,"2024-12-12",295.550348246662
"Calmig_0.8","Calmig_0.8_1",265049.493364367,57474.733749837,1734018281,482421.335,"2024-12-12",330.503341219242
"Calmig_0.8","Calmig_0.8_2",265870.351930953,57796.2484699288,1734018315,482957.961,"2024-12-12",331.526910423173
"Calmig_0.8","Calmig_0.8_3",265511.155411493,58371.092940035,1734018359,482468.351,"2024-12-12",331.079010491998
"Calmig_0.8","Calmig_0.8_4",267041.711719059,56568.819471359,1734018413,484863.748,"2024-12-12",332.987536960596
"Calmig_0.8","Calmig_0.8_5",265457.158298613,57153.7376205576,1734018442,484023.107,"2024-12-12",331.011678817461
"Calmig_1","Calmig_1_1",332809.866650186,72764.1497743741,1734018527,549656.868,"2024-12-12",383.001567769442
"Calmig_1","Calmig_1_2",333797.614049259,70548.1854792065,1734018558,551549.224,"2024-12-12",384.138279268451
"Calmig_1","Calmig_1_3",333696.636404135,73143.8238834902,1734018611,552506.409,"2024-12-12",384.022072988928
"Calmig_1","Calmig_1_4",307373.066624334,63636.5532411129,1734018647,526614.844,"2024-12-12",353.728594624149
"Calmig_1","Calmig_1_5",333153.05488639,70495.2927242986,1734018690,552428.581,"2024-12-12",383.396512888794
"Calbaja_1","Calbaja_1_1",46701.6846077408,8623.25266450508,1734021261,264058.309,"2024-12-12",84.5169248398311
"Calbaja_1","Calbaja_1_2",43826.8698596572,8338.15943376685,1734021312,260391.232,"2024-12-12",79.3143180381067
"Calbaja_1","Calbaja_1_3",46993.6752616797,8827.31627325442,1734021384,262900.302,"2024-12-12",85.0453458670416
"Calbaja_1","Calbaja_1_4",44243.2416209538,8750.09455355523,1734021418,260042.593,"2024-12-12",80.0678339155424
"Calbaja_1","Calbaja_1_5",46043.9026726084,8406.88911890233,1734021457,261793.651,"2024-12-12",83.3265243898359
"Calbaja_0.2","Calbaja_0.2_1",9602.51252386736,784.026796088005,1734019999,228967.589,"2024-12-12",20.6203229965047
"Calbaja_0.2","Calbaja_0.2_10",17085.2595142427,2114.06157579305,1734020136,236364.734,"2024-12-12",36.6886862982087
"Calbaja_0.2","Calbaja_0.2_11",5474.98842907651,762.759244250488,1734020155,148034.811,"2024-12-12",11.7569260679512
"Calbaja_0.2","Calbaja_0.2_12",12081.8527975508,1995.35020720076,1734020198,231493.165,"2024-12-12",25.9444292795763
